episode,total_reward,steps,epsilon,mean_step_reward,timestamp,current_lr
68,-38135.899999999994,1000,0.7111635524897149,-38.13589999999999,2025-09-09T20:10:41.658383,0.0001
69,-13377.59999999998,1000,0.7076077347272662,-13.377600000000003,2025-09-09T20:11:07.592810,0.0001
70,-26201.000000000022,1000,0.7040696960536299,-26.201000000000008,2025-09-09T20:11:37.332194,0.0001
71,-140729.199999999,1000,0.7005493475733617,-140.7292,2025-09-09T20:12:12.028739,0.0001
72,-18868.09999999999,1000,0.697046600835495,-18.868100000000002,2025-09-09T20:12:38.098460,0.0001
73,-24951.699999999983,1000,0.6935613678313175,-24.951699999999995,2025-09-09T20:13:03.195305,0.0001
74,-20458.19999999998,1000,0.6900935609921609,-20.458200000000005,2025-09-09T20:13:32.100031,0.0001
75,-14395.999999999984,1000,0.6866430931872001,-14.396,2025-09-09T20:13:59.799600,0.0001
76,-35158.80000000002,1000,0.6832098777212641,-35.1588,2025-09-09T20:14:25.597307,0.0001
77,-20362.89999999999,1000,0.6797938283326578,-20.3629,2025-09-09T20:14:51.608738,0.0001
78,-15841.700000000033,1000,0.6763948591909945,-15.8417,2025-09-09T20:15:18.438052,0.0001
79,-35823.899999999994,1000,0.6730128848950395,-35.823899999999995,2025-09-09T20:15:45.032038,0.0001
80,-21893.7,1000,0.6696478204705644,-21.8937,2025-09-09T20:16:13.776781,0.0001
81,-15734.200000000012,1000,0.6662995813682115,-15.734200000000001,2025-09-09T20:16:37.825784,0.0001
82,-23905.900000000005,1000,0.6629680834613705,-23.905900000000003,2025-09-09T20:17:04.887022,0.0001
83,-170565.30000000025,1000,0.6596532430440636,-170.56530000000004,2025-09-09T20:17:38.869121,0.0001
84,-131190.3999999999,1000,0.6563549768288433,-131.19039999999998,2025-09-09T20:18:12.621700,0.0001
85,-28361.899999999987,1000,0.653073201944699,-28.361900000000002,2025-09-09T20:18:39.594280,0.0001
86,-25709.40000000002,1000,0.6498078359349755,-25.709400000000002,2025-09-09T20:19:04.929289,0.0001
87,-47024.00000000004,1000,0.6465587967553006,-47.023999999999994,2025-09-09T20:19:36.414086,0.0001
88,-23075.899999999998,1000,0.6433260027715241,-23.075899999999997,2025-09-09T20:20:03.949134,0.0001
89,-34681.69999999994,1000,0.6401093727576664,-34.6817,2025-09-09T20:20:32.266675,0.0001
90,-32198.400000000038,1000,0.6369088258938781,-32.1984,2025-09-09T20:21:00.961730,0.0001
91,-45527.99999999998,1000,0.6337242817644086,-45.528,2025-09-09T20:21:29.101151,0.0001
92,-26217.700000000004,1000,0.6305556603555866,-26.217700000000004,2025-09-09T20:21:55.949300,0.0001
93,-36810.29999999995,1000,0.6274028820538087,-36.810300000000005,2025-09-09T20:22:24.747266,0.0001
94,-61525.40000000006,1000,0.6242658676435396,-61.52540000000001,2025-09-09T20:22:50.978649,0.0001
95,-10259.600000000006,1000,0.6211445383053219,-10.259600000000002,2025-09-09T20:23:15.370599,0.0001
96,-133978.49999999968,1000,0.6180388156137953,-133.9785,2025-09-09T20:23:51.461147,0.0001
97,-130382.90000000094,1000,0.6149486215357263,-130.38290000000003,2025-09-09T20:24:28.898761,0.0001
98,-22456.29999999999,1000,0.6118738784280476,-22.4563,2025-09-09T20:24:56.675125,0.0001
99,-99865.2,1000,0.6088145090359074,-99.86520000000002,2025-09-09T20:25:27.453596,0.0001
100,-120348.99999999994,1000,0.6057704364907278,-120.349,2025-09-09T20:26:00.877144,0.0001
101,-129913.70000000008,1000,0.6027415843082742,-129.91370000000003,2025-09-09T20:29:49.454362,0.0001
102,-35482.3999999998,1000,0.5997278763867329,-35.48239999999999,2025-09-09T20:30:26.351279,0.0001
